VariantId,ImageUrl,Productname,Last30DayGMV,SM,StartDate,Status,Status Date,End Date
1781857,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_7-b62ef898-b6a6-4c0d-8d4b-3e2babe49130.jpeg,White Rose 001,"16,33,743",JAIDEEP AM,"11 Jul, 2024 12:27:52",Forwarded to seller,,
2499459,https://bijnis.s3.ap-south-1.amazonaws.com/production/uploads/1490487986/09-02-2024/170745854577295209a8624324afdb45e3758bcde73a7.jpg,EVA V-Shape 1198,"14,65,462",VINEET KUMAR MISHRA,"11 Jul, 2024 12:27:52",Out of Stock,,
2504622,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-84e462d1-e166-442a-8fcc-64aba3d95df4.png,SKYLARK 161,"10,54,143",KRISHAN KUMAR JHA,"11 Jul, 2024 12:27:52",Out of Stock,,
2497534,https://bijnis.s3.ap-south-1.amazonaws.com/production/uploads/1490486917/07-05-2024/1715070290919adb460144efd4abcb4d31e76b8010fab.jpg,Poly Cotton Round Neck 517,"8,76,808",JAIDEEP AM,"11 Jul, 2024 12:27:52",Out of Stock,,
2305387,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490487544/uploadfile_1-2ec1f260-3525-48d2-b88f-30d211f86617.jpeg,Vandana Saree 001,"7,85,575",HIMANSHU SINGH,"11 Jul, 2024 12:27:52",Out of Stock,,
2504620,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-7069c56b-6d98-4aad-85a3-ab382e69266f.png,SKYLARK 161,"6,45,954",KRISHAN KUMAR JHA,"11 Jul, 2024 12:27:52",Out of Stock,,
2499461,https://bijnis.s3.ap-south-1.amazonaws.com/production/uploads/1490487986/09-02-2024/17074585833941ab6235a45ee4ba9996f3c8f31177992.jpg,EVA V-Shape 1198,"4,98,430",VINEET KUMAR MISHRA,"11 Jul, 2024 12:27:52",Out of Stock,,
2595659,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-9ad6dfa3-b487-4281-9d48-5e3c95d2f305.jpeg,RELAXO 746,"4,34,250",ASHVANI SINGH,"11 Jul, 2024 12:27:52",Out of Stock,,
1773646,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-61b2b655-ac5d-4445-bff8-aec65e69828e.jpeg,SEGA 534,"3,88,338",ASHVANI SINGH,"11 Jul, 2024 12:27:52",Out of Stock,,
2310256,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490271027/uploadfile_1-49e4e303-167f-4cb3-9a2d-2d8abf91c362.jpeg,WALKSON 146,"3,78,925",VISHAL YADAV,"11 Jul, 2024 12:27:52",Out of Stock,,
