,variantid,sizeid,sizetext,productname,sellername,SubCategory,SuperCategory,Stock_quantity,Platform,GMV,GMV_PerDay,pareto_rank
0,2411047,1099435,"39/2, 52/1",PP FASHION 245,P.P. & SONS,T-SHIRTS,APPARELS,0,DP,,,1
1,2411047,1099436,"40/2, 42/1",PP FASHION 245,P.P. & SONS,T-SHIRTS,APPARELS,0,DP,,,1
2,2411047,1099438,"43/2, 45/1",PP FASHION 245,P.P. & SONS,T-SHIRTS,APPARELS,0,DP,,,1
3,2411047,1099439,"46/2, 48/1",PP FASHION 245,P.P. & SONS,T-SHIRTS,APPARELS,0,DP,,,1
4,2411048,1099416,"39/1, 40/1, 42/1",PP FASHION 245,P.P. & SONS,T-SHIRTS,APPARELS,0,DP,,,1
5,2411048,1099417,"43/1, 45/1, 46/1",PP FASHION 245,P.P. & SONS,T-SHIRTS,APPARELS,0,DP,,,1
6,2411048,1099418,"48/1, 50/1, 52/1",PP FASHION 245,P.P. & SONS,T-SHIRTS,APPARELS,0,DP,,,1
7,2411048,1099419,39/3,PP FASHION 245,P.P. & SONS,T-SHIRTS,APPARELS,0,DP,,,1
8,2411048,1099420,40/3,PP FASHION 245,P.P. & SONS,T-SHIRTS,APPARELS,0,DP,,,1
9,2411048,1099421,42/3,PP FASHION 245,P.P. & SONS,T-SHIRTS,APPARELS,0,DP,,,1
